Id,Name,DayTrend30,Members
4164,Facemask,+17.0%,true
4593,Fake beard,+35.0%,true
3373,Fat snail meat,+2.0%,true
4830,Fayrg bones,+3.0%,true
11990,Fedora,+35.0%,true
3470,Fine cloth,+11.0%,true
1393,Fire battlestaff,+0.0%,true
1442,Fire talisman,+10.0%,false
22818,Fish chunks,+85.0%,true
272,Fish food,+2.0%,false
11334,Fish offcuts,+12.0%,true
11477,Fishing mix(2),+3.0%,true
153,Fishing potion(2),+1.0%,true
2438,Fishing potion(4),+15.0%,true
21180,Flamtaer bracelet,+7.0%,true
10394,Flared trousers,+11.0%,true
2865,Flighted ogre arrow,+29.0%,true
3789,Fremennik black cloak,+4.0%,true
3779,Fremennik grey cloak,+0.0%,true
3785,Fremennik purple cloak,+7.0%,true
3777,Fremennik red cloak,+2.0%,true
3783,Fremennik teal cloak,+0.0%,true
3853,Games necklace(8),+6.0%,true
1550,Garlic,+75.0%,false
4668,Garlic powder,+45.0%,true
12778,Ghorrock teleport,+7.0%,true
2167,Gianne's cook book,+15.0%,true
9846,Gilded cape rack,+9.0%,true
20149,Gilded chainbody,+2.0%,false
8594,Gilded clock,+4.0%,true
8608,Gilded dresser,+4.0%,true
8588,Gilded four-poster,+4.0%,true
3486,Gilded full helm,+4.0%,false
9857,Gilded magic wardrobe,+4.0%,true
3483,Gilded platelegs,+4.0%,false
8622,Gilded wardrobe,+4.0%,true
2019,Gin,+2.0%,true
1785,Glassblowing pipe,+20.0%,true
9472,Gnome goggles,+22.0%,true
9470,Gnome scarf,+7.0%,true
10999,Goblin book,+125.0%,true
288,Goblin mail,+56.0%,false
12251,Goblin mask,+6.0%,true
11798,Godsword blade,+0.0%,true
11818,Godsword shard 1,+2.0%,true
11820,Godsword shard 2,+2.0%,true
11822,Godsword shard 3,+2.0%,true
1692,Gold amulet,+17.0%,false
2357,Gold bar,+10.0%,false
11069,Gold bracelet,+9.0%,true
12345,Gold elegant skirt,+16.0%,true
8784,Gold leaf,+0.0%,true
1654,Gold necklace,+7.0%,false
444,Gold ore,+16.0%,false
1635,Gold ring,+21.0%,false
9040,Gold seal,+0.0%,true
9034,Golden statuette,+0.0%,true
11242,Gourmet impling jar,+11.0%,true
6981,Granite (2kg),+8.0%,true
21736,Granite gloves,+5.0%,true
6809,Granite legs,+2.0%,true
4153,Granite maul,+0.0%,true
13657,Grape seed,+25.0%,true
22835,Greater siren,+3.0%,true
1027,Green cape,+17.0%,false
1099,Green d'hide chaps,+2.0%,false
1065,Green d'hide vamb,+2.0%,false
12518,Green dragon mask,+1.0%,true
1753,Green dragonhide,+4.0%,true
12865,Green dragonhide set,+0.0%,false
10434,Green elegant skirt,+0.0%,true
7330,Green firelighter,+9.0%,true
1044,Green partyhat,+12.0%,false
638,Green robe top,+3.0%,true
8522,Greenman's ale,+4.0%,true
5743,Greenman's ale(m),+8.0%,true
2526,Grey toy horsey,+1.0%,false
205,Grimy harralander,+11.0%,true
201,Grimy marrentill,+7.0%,true
91,Guam potion (unf),+6.0%,true
21733,Guardian boots,+6.0%,true
10380,Guthix chaps,+45.0%,true
10448,Guthix cloak,+3.0%,true
19927,Guthix d'hide boots,+8.0%,true
